time_ps,energy_eV,temperature_K,ekin_eV,nose_hoover_eV
7.99999999999934,-261923.811128528,468.144464101704,14.7045184005807,-261936.222233031
8.00199999999934,-261922.663735164,515.423791516118,16.1895722530627,-261936.249101999
8.00399999999934,-261921.753812745,540.611375872683,16.9807197001397,-261936.240660588
8.00599999999934,-261921.793686687,516.716989276237,16.2301918731104,-261936.204558261
8.00799999999934,-261922.241944229,479.033268535169,15.0465380920011,-261936.173033285
8.00999999999934,-261922.252082004,473.154314322486,14.8618788745468,-261936.159568601
8.01199999999934,-261921.721397468,506.816066267877,15.9192017499258,-261936.185040796
8.01399999999935,-261921.366363545,539.886902901762,16.9579638481569,-261936.227759323
8.01599999999935,-261921.929889918,524.767135679156,16.4830487046789,-261936.227545076
8.01799999999935,-261922.993570008,479.761812246217,15.0694218068075,-261936.191098365
8.01999999999935,-261923.591411054,459.549798469317,14.4345581027894,-261936.194011897
8.02199999999935,-261923.316043544,480.083074020384,15.079512708296,-261936.224925073
8.02399999999935,-261922.505225633,514.700741478786,16.1668610957303,-261936.225596183
8.02599999999935,-261921.960922911,529.007970602085,16.6162542425842,-261936.191392955
8.02799999999935,-261922.147718459,516.554787057207,16.2250970664914,-261936.164487045
8.02999999999935,-261922.798111352,497.917471885271,15.6396949846597,-261936.17151612
8.03199999999935,-261923.423621996,489.981169346534,15.3904140133737,-261936.188597603
8.03399999999935,-261923.825070663,494.445590817587,15.5306424528897,-261936.208314486
8.03599999999935,-261924.093656355,500.425528594455,15.7184735858349,-261936.234987338
8.03799999999935,-261924.310711065,495.029811734532,15.5489929576633,-261936.238654726
8.03999999999935,-261924.338017659,482.634403598112,15.1596505195882,-261936.212355306
8.04199999999935,-261923.950210628,481.977621004595,15.1390208369323,-261936.186446346
8.04399999999936,-261923.165453714,500.202966109932,15.7114828502823,-261936.186414487
8.04599999999936,-261922.359227741,518.820039959923,16.2962491478342,-261936.187404194
8.04799999999936,-261921.961313408,516.569315378472,16.22555340419,-261936.157336033
8.04999999999936,-261921.981760015,502.114161187607,15.7715138991183,-261936.123431293
8.05199999999936,-261922.135390573,496.512650755987,15.5955692505559,-261936.133669421
8.05399999999936,-261922.229104831,498.715909905423,15.6647740947621,-261936.151224444
8.05599999999936,-261922.251788877,497.418350166135,15.6240174640096,-261936.144927029
8.05799999999936,-261922.191271526,492.481126926306,15.4689382191505,-261936.137878247
8.05999999999936,-261921.93234766,489.740273687517,15.3828474288634,-261936.124821752
8.06199999999936,-261921.419548223,494.834763272931,15.5428664434939,-261936.105620009
8.06399999999936,-261920.796825062,507.593828735385,15.9436314364686,-261936.098970839
8.06599999999936,-261920.361357457,517.269286537676,16.2475396489919,-261936.092614791
8.06799999999936,-261920.37007703,515.518017547749,16.1925319130014,-261936.090072996
8.06999999999936,-261920.790054041,506.937914251881,15.9230290213351,-261936.091115422
8.07199999999937,-261921.431711386,503.046774900548,15.8008074966169,-261936.110097051
8.07399999999937,-261922.210861105,504.351928287206,15.841802645468,-261936.164017285
8.07599999999937,-261923.057072866,497.496212469204,15.6264631357113,-261936.19827394
8.07799999999937,-261923.757321987,482.495105831767,15.155275146759,-261936.199268424
8.07999999999937,-261924.01306118,477.032792067037,14.9837026954702,-261936.194555542
8.08199999999937,-261923.748218923,491.575195472808,15.4404827171653,-261936.203683016
8.08399999999937,-261923.282144562,513.2752462577,16.1220859839523,-261936.225915221
8.08599999999937,-261923.089845989,515.494977091463,16.1918082073092,-261936.234251598
8.08799999999937,-261923.206810373,493.479066796843,15.5002837253227,-261936.210287786
8.08999999999937,-261923.159717943,475.72593668552,14.9426540865941,-261936.182506652
8.09199999999937,-261922.61016746,486.69416963285,15.2871686447345,-261936.190469296
8.09399999999937,-261921.755836945,515.168403464869,16.1815504593925,-261936.217176546
8.09599999999937,-261921.196018572,526.620371124755,16.5412592289937,-261936.207556361
8.09799999999937,-261921.273810628,512.161913971731,16.0871159771695,-261936.178175048
8.09999999999937,-261921.720882995,496.949882551914,15.6093027953942,-261936.188083166
8.10199999999938,-261922.153326315,497.11706859954,15.6145541451423,-261936.217511518
8.10399999999938,-261922.549536153,506.552061189131,15.9109092935668,-261936.250934935
8.10599999999938,-261923.111622443,507.899732954346,15.9532399538419,-261936.293116732
8.10799999999938,-261923.784501257,489.891976782662,15.3876124557409,-261936.309679377
8.10999999999938,-261924.107884058,466.441724092729,14.6510349703293,-261936.283876167
8.11199999999938,-261923.643303474,466.573047962894,14.6551598813629,-261936.2512555
